Amaravati,Maharashtra,India,20.9333,77.75,Asia/Kolkata,19.5
Itanagar,Arunachal Pradesh,India,27.1,93.6167,Asia/Kolkata,13.7
Dispur,Assam,India,26.1425,91.7889,Asia/Kolkata,19.2
Patna,Bihar,India,25.6,85.1167,Asia/Kolkata,19.2
Raipur,Chhattisgarh,India,21.2333,81.6333,Asia/Kolkata,19.7
Panaji,Goa,India,15.4833,73.8333,Asia/Kolkata,24.2
Gandhinagar,Gujarat,India,23.2167,72.6833,Asia/Kolkata,19.3
Chandigarh,Chandigarh,India,30.7372,76.7872,Asia/Kolkata,14.6
Shimla,Himachal Pradesh,India,31.1033,77.1722,Asia/Kolkata,11.2
Ranchi,Jharkhand,India,23.35,85.3333,Asia/Kolkata,16.0
Bengaluru,Karnataka,India,12.9833,77.5833,Asia/Kolkata,22.1
Thiruvananthapuram,Kerala,India,8.5069,76.9569,Asia/Kolkata,28.1
Bhopal,Madhya Pradesh,India,23.2667,77.4,Asia/Kolkata,15.6
Mumbai,Maharashtra,India,18.975,72.826,Asia/Kolkata,26.2
Imphal,Manipur,India,24.8167,93.95,Asia/Kolkata,11.4
Shillong,Meghalaya,India,25.5756,91.8731,Asia/Kolkata,12.1
Aizawl,Mizoram,India,23.7244,92.7175,Asia/Kolkata,19.8
Kohima,Nagaland,India,25.6667,94.1167,Asia/Kolkata,10.5
Bhubaneswar,Orissa,India,20.2333,85.8333,Asia/Kolkata,23.1
Chandigarh,Chandigarh,India,30.7372,76.7872,Asia/Kolkata,14.6
Jaipur,Rajasthan,India,26.9167,75.8167,Asia/Kolkata,19.2
Gangtok,Sikkim,India,27.3333,88.6167,Asia/Kolkata,4.7
Chennai,Tamil Nadu,India,13.0833,80.2833,Asia/Kolkata,27.0
Hyderabad,Andhra Pradesh,India,17.3753,78.4744,Asia/Kolkata,24.1
Agartala,Tripura,India,23.8364,91.275,Asia/Kolkata,20.1
Lucknow,Uttar Pradesh,India,26.85,80.917,Asia/Kolkata,15.2
Dehradun,Uttarakhand,India,30.3167,78.0333,Asia/Kolkata,11.9
Kolkata,West Bengal,India,22.5697,88.3697,Asia/Kolkata,20.1
Port Blair,Andaman and Nicobar Islands,India,11.6667,92.75,Asia/Kolkata,27.0
Chandigarh,Chandigarh,India,30.7372,76.7872,Asia/Kolkata,14.6
Daman,Daman and Diu,India,20.4167,72.85,Asia/Kolkata,21.0
Kavaratti,Lakshadweep,India,10.5667,72.6167,Asia/Kolkata,27.4
New Delhi,Delhi,India,28.6,77.2,Asia/Kolkata,18.3
Puducherry,Puducherry,India,11.93,79.83,Asia/Kolkata,24.6
Srinagar,Jammu and Kashmir,India,34.0922,74.8022,Asia/Kolkata,6.5
Jammu,Jammu and Kashmir,India,32.7333,74.8667,Asia/Kolkata,14.6
Leh,Ladakh,India,34.167,77.583,Asia/Kolkata,-10.3
